Cohort,Apr25,May25,Jun25,Jul25,Aug25,Sep25,Oct25,Nov25,Dec25,Jan26,Feb26,Mar26,Apr26,Total
On & Before FY22,10.665832,10.829753,10.260266,11.111514,11.184294,11.293240,12.186380,11.249318,11.611102,11.814982,10.757028,12.094883,11.571862,146.630455
FY23,1.757445,1.802021,1.784664,1.940360,1.995657,2.037789,2.232452,2.175266,2.320863,2.439016,2.267199,2.308181,2.322291,27.383205
FY24,11.388335,11.691165,11.218838,12.017366,12.644805,12.216056,10.698514,10.548217,10.517420,9.404777,8.450039,9.537926,8.119206,138.452663
FY25,4.720451,4.822452,6.125044,6.929539,6.924112,7.544205,6.842491,6.367137,8.029651,7.659105,7.322659,8.473839,7.685398,89.446082
FY26 New (cumulative),0.254669,0.329716,1.057811,0.590195,0.917003,1.515842,1.004414,1.192995,2.064196,2.032349,1.426099,2.867085,2.303872,17.556246
